sector,product,scene,date,type,filename,full_path
Glaciar Grey,planet_scope,REQ_6797,20201120,qa,composite_udm2_qb-clear.tif,s3://easido-prod-dc-data-projects/saf/planet_scope/glaciar/20201120/REQ_6797/composite_udm2_qb-clear.tif
Glaciar Grey,planet_scope,REQ_6797,20201120,qa,composite_udm2_qb-haze_light.tif,s3://easido-prod-dc-data-projects/saf/planet_scope/glaciar/20201120/REQ_6797/composite_udm2_qb-haze_light.tif
Glaciar Grey,planet_scope,REQ_6797,20201120,mss,composite_green1.tif,s3://easido-prod-dc-data-projects/saf/planet_scope/glaciar/20201120/REQ_6797/composite_green1.tif
Glaciar Grey,planet_scope,REQ_6797,20201120,mss,composite_redegde.tif,s3://easido-prod-dc-data-projects/saf/planet_scope/glaciar/20201120/REQ_6797/composite_redegde.tif
Glaciar Grey,planet_scope,REQ_6797,20201120,mss,composite_blue.tif,s3://easido-prod-dc-data-projects/saf/planet_scope/glaciar/20201120/REQ_6797/composite_blue.tif
Glaciar Grey,planet_scope,REQ_6797,20201120,mss,composite_yellow.tif,s3://easido-prod-dc-data-projects/saf/planet_scope/glaciar/20201120/REQ_6797/composite_yellow.tif
Glaciar Grey,planet_scope,REQ_6796,20211112,qa,composite_udm2_qb-shadow.tif,s3://easido-prod-dc-data-projects/saf/planet_scope/glaciar/20211112/REQ_6796/composite_udm2_qb-shadow.tif
Glaciar Grey,planet_scope,REQ_6796,20211112,qa,composite_udm2_qb-confidence.tif,s3://easido-prod-dc-data-projects/saf/planet_scope/glaciar/20211112/REQ_6796/composite_udm2_qb-confidence.tif
Glaciar Grey,planet_scope,REQ_6796,20211112,mss,composite_green.tif,s3://easido-prod-dc-data-projects/saf/planet_scope/glaciar/20211112/REQ_6796/composite_green.tif
Glaciar Grey,planet_scope,REQ_6796,20211112,mss,composite_nir.tif,s3://easido-prod-dc-data-projects/saf/planet_scope/glaciar/20211112/REQ_6796/composite_nir.tif
Glaciar Grey,planet_scope,REQ_6796,20211112,mss,composite_coastal.tif,s3://easido-prod-dc-data-projects/saf/planet_scope/glaciar/20211112/REQ_6796/composite_coastal.tif
